Job_Title,Experience,Skills,Education,Language,Soft_Skills,Full_Description
Email Campaign Assistant,3+ years,"Social Media Marketing, Shopify, Customer Service",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Email Campaign Assistant with 3+ years experience required. Skills needed: Social Media Marketing, Shopify, Customer Service. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,No experience but strong motivation,"Order Management, Copywriting, Customer Service, Product Description Writing, Social Media Marketing, Zapier",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Digital Marketing Assistant with No experience but strong motivation experience required. Skills needed: Order Management, Copywriting, Customer Service, Product Description Writing, Social Media Marketing, Zapier. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,No experience but strong motivation,"SEO, Zapier, Copywriting, Amazon Seller Central","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: SEO, Zapier, Copywriting, Amazon Seller Central. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,2+ years,"SEO, Shopify, Inventory Management, Copywriting, Customer Service, Amazon Seller Central",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: SEO, Shopify, Inventory Management, Copywriting, Customer Service, Amazon Seller Central. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
E-commerce Customer Service Specialist,No experience but strong motivation,"CRM Tools, Zapier, Amazon Seller Central, SEO",Diploma in E-commerce or IT,Fluent English,Strong communication and time management skills,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: CRM Tools, Zapier, Amazon Seller Central, SEO. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Strong communication and time management skills."
Content Writer (E-commerce),No experience but strong motivation,"SEO, Amazon Seller Central, Product Description Writing","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: SEO, Amazon Seller Central, Product Description Writing. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Email Campaign Assistant,3+ years,"Customer Service, Return Handling, Amazon Seller Central, Zapier","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Email Campaign Assistant with 3+ years experience required. Skills needed: Customer Service, Return Handling, Amazon Seller Central, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Content Writer (E-commerce),2+ years,"Amazon Seller Central, Product Description Writing, Social Media Marketing, SEO, CRM Tools",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Amazon Seller Central, Product Description Writing, Social Media Marketing, SEO, CRM Tools. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,3+ years,"SEO, Product Description Writing, Zapier, Customer Service, Amazon Seller Central",High School diploma,Multilingual preferred,Strong communication and time management skills,"Marketplace Account Executive with 3+ years experience required. Skills needed: SEO, Product Description Writing, Zapier, Customer Service, Amazon Seller Central. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Content Writer (E-commerce),2+ years,"Social Media Marketing, Amazon Seller Central, Product Description Writing, SEO","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Social Media Marketing, Amazon Seller Central, Product Description Writing, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,3+ years,"CRM Tools, Excel, Return Handling, Product Description Writing, Inventory Management, Amazon Seller Central",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Email Campaign Assistant with 3+ years experience required. Skills needed: CRM Tools, Excel, Return Handling, Product Description Writing, Inventory Management, Amazon Seller Central. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),No experience but strong motivation,"Google Ads, Customer Service, Inventory Management, SEO, CRM Tools",Diploma in E-commerce or IT,Multilingual preferred,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Google Ads, Customer Service, Inventory Management, SEO, CRM Tools. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,2+ years,"Inventory Management, CRM Tools, SEO, Copywriting, Amazon Seller Central",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Digital Marketing Assistant with 2+ years experience required. Skills needed: Inventory Management, CRM Tools, SEO, Copywriting, Amazon Seller Central. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,No experience but strong motivation,"Social Media Marketing, Zapier, Return Handling",High School diploma,Multilingual preferred,Strong communication and time management skills,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Social Media Marketing, Zapier, Return Handling. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,No experience but strong motivation,"Order Management, Zapier, Inventory Management",High School diploma,Good written English,Strong communication and time management skills,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Order Management, Zapier, Inventory Management. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
Inventory Analyst,2+ years,"Google Ads, Inventory Management, Amazon Seller Central, SEO, Social Media Marketing",High School diploma,Multilingual preferred,Strong communication and time management skills,"Inventory Analyst with 2+ years experience required. Skills needed: Google Ads, Inventory Management, Amazon Seller Central, SEO, Social Media Marketing. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Digital Marketing Assistant,3+ years,"Zapier, Order Management, Product Description Writing",High School diploma,Multilingual preferred,Strong communication and time management skills,"Digital Marketing Assistant with 3+ years experience required. Skills needed: Zapier, Order Management, Product Description Writing. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Inventory Analyst,No experience but strong motivation,"Return Handling, Product Description Writing, Social Media Marketing, SEO, Amazon Seller Central","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Return Handling, Product Description Writing, Social Media Marketing, SEO, Amazon Seller Central. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,No experience but strong motivation,"Copywriting, SEO, Amazon Seller Central, Return Handling, Shopify","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Copywriting, SEO, Amazon Seller Central, Return Handling, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Content Writer (E-commerce),No experience but strong motivation,"Zapier, Order Management, Excel, Return Handling",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Zapier, Order Management, Excel, Return Handling. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,2+ years,"SEO, Order Management, Customer Service, Social Media Marketing","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Attention to detail and teamwork,"Product Listing Manager with 2+ years experience required. Skills needed: SEO, Order Management, Customer Service, Social Media Marketing. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,1+ years,"Return Handling, Copywriting, Zapier",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: Return Handling, Copywriting, Zapier. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,2+ years,"SEO, Social Media Marketing, Zapier, Excel, Customer Service","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Logistics Coordinator with 2+ years experience required. Skills needed: SEO, Social Media Marketing, Zapier, Excel, Customer Service. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,3+ years,"Customer Service, Copywriting, Zapier, Inventory Management, SEO",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Product Listing Manager with 3+ years experience required. Skills needed: Customer Service, Copywriting, Zapier, Inventory Management, SEO. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,No experience but strong motivation,"CRM Tools, Shopify, Product Description Writing, Google Ads, Zapier, Return Handling","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Problem-solving and customer-first mindset,"Marketplace Account Executive with No experience but strong motivation experience required. Skills needed: CRM Tools, Shopify, Product Description Writing, Google Ads, Zapier, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Order Fulfillment Associate,1+ years,"Shopify, Google Ads, Social Media Marketing, Copywriting","Bachelor's degree in Business, Marketing or related",Fluent English,Problem-solving and customer-first mindset,"Order Fulfillment Associate with 1+ years experience required. Skills needed: Shopify, Google Ads, Social Media Marketing, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,3+ years,"Order Management, Zapier, Customer Service, Product Description Writing, Return Handling",High School diploma,Good written English,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: Order Management, Zapier, Customer Service, Product Description Writing, Return Handling. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,2+ years,"Customer Service, SEO, Zapier, Order Management",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Logistics Coordinator with 2+ years experience required. Skills needed: Customer Service, SEO, Zapier, Order Management. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,3+ years,"Amazon Seller Central, SEO, Customer Service, Copywriting, Return Handling, Product Description Writing",High School diploma,Good written English,Problem-solving and customer-first mindset,"Marketplace Account Executive with 3+ years experience required. Skills needed: Amazon Seller Central, SEO, Customer Service, Copywriting, Return Handling, Product Description Writing. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,3+ years,"SEO, Product Description Writing, Shopify, Amazon Seller Central, Google Ads, Return Handling",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: SEO, Product Description Writing, Shopify, Amazon Seller Central, Google Ads, Return Handling. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Inventory Analyst,No experience but strong motivation,"Amazon Seller Central, Customer Service, CRM Tools, Shopify","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, Customer Service, CRM Tools, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,2+ years,"Excel, Social Media Marketing, Product Description Writing, Copywriting, Customer Service","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Product Listing Manager with 2+ years experience required. Skills needed: Excel, Social Media Marketing, Product Description Writing, Copywriting, Customer Service. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,No experience but strong motivation,"Google Ads, SEO, Excel",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Inventory Analyst with No experience but strong motivation experience required. Skills needed: Google Ads, SEO, Excel. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,No experience but strong motivation,"Amazon Seller Central, SEO, Copywriting, Customer Service, Shopify",Diploma in E-commerce or IT,Fluent English,Attention to detail and teamwork,"Logistics Coordinator with No experience but strong motivation experience required. Skills needed: Amazon Seller Central, SEO, Copywriting, Customer Service, Shopify. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Email Campaign Assistant,No experience but strong motivation,"Zapier, Excel, Return Handling, Order Management, Amazon Seller Central",High School diploma,Fluent English,Attention to detail and teamwork,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Zapier, Excel, Return Handling, Order Management, Amazon Seller Central. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Order Fulfillment Associate,3+ years,"Amazon Seller Central, Return Handling, Google Ads",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"Order Fulfillment Associate with 3+ years experience required. Skills needed: Amazon Seller Central, Return Handling, Google Ads. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Order Fulfillment Associate,2+ years,"Zapier, Customer Service, Return Handling, Copywriting, Social Media Marketing, Order Management",High School diploma,Multilingual preferred,Strong communication and time management skills,"Order Fulfillment Associate with 2+ years experience required. Skills needed: Zapier, Customer Service, Return Handling, Copywriting, Social Media Marketing, Order Management. Education: High School diploma. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,No experience but strong motivation,"Shopify, Return Handling, Customer Service, Excel, Amazon Seller Central",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Shopify, Return Handling, Customer Service, Excel, Amazon Seller Central. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,1+ years,"Shopify, Zapier, Excel",High School diploma,Multilingual preferred,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: Shopify, Zapier, Excel. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,2+ years,"Amazon Seller Central, Order Management, Google Ads, Customer Service, Excel, Return Handling","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: Amazon Seller Central, Order Management, Google Ads, Customer Service, Excel, Return Handling. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
Order Fulfillment Associate,No experience but strong motivation,"Copywriting, Inventory Management, Product Description Writing, Excel",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"Order Fulfillment Associate with No experience but strong motivation experience required. Skills needed: Copywriting, Inventory Management, Product Description Writing, Excel. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,1+ years,"Excel, Customer Service, SEO, Product Description Writing, Social Media Marketing",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Product Listing Manager with 1+ years experience required. Skills needed: Excel, Customer Service, SEO, Product Description Writing, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,1+ years,"Copywriting, SEO, Return Handling",Diploma in E-commerce or IT,Good written English,Strong communication and time management skills,"E-commerce Customer Service Specialist with 1+ years experience required. Skills needed: Copywriting, SEO, Return Handling. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Strong communication and time management skills."
Inventory Analyst,3+ years,"Customer Service, Copywriting, Social Media Marketing",High School diploma,Good written English,Strong communication and time management skills,"Inventory Analyst with 3+ years experience required. Skills needed: Customer Service, Copywriting, Social Media Marketing. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
E-commerce Customer Service Specialist,3+ years,"Return Handling, Order Management, Shopify, CRM Tools, Amazon Seller Central, Zapier",Diploma in E-commerce or IT,Multilingual preferred,Problem-solving and customer-first mindset,"E-commerce Customer Service Specialist with 3+ years experience required. Skills needed: Return Handling, Order Management, Shopify, CRM Tools, Amazon Seller Central, Zapier. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,2+ years,"Copywriting, Social Media Marketing, Product Description Writing",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"Digital Marketing Assistant with 2+ years experience required. Skills needed: Copywriting, Social Media Marketing, Product Description Writing. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Zapier, SEO, Amazon Seller Central",High School diploma,Good written English,Problem-solving and customer-first mindset,"Logistics Coordinator with 3+ years experience required. Skills needed: Zapier, SEO, Amazon Seller Central. Education: High School diploma. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,2+ years,"SEO, Google Ads, Order Management, Zapier, Product Description Writing, CRM Tools",Diploma in E-commerce or IT,Good written English,Problem-solving and customer-first mindset,"Product Listing Manager with 2+ years experience required. Skills needed: SEO, Google Ads, Order Management, Zapier, Product Description Writing, CRM Tools. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Marketplace Account Executive,2+ years,"Zapier, CRM Tools, Customer Service, Inventory Management",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Marketplace Account Executive with 2+ years experience required. Skills needed: Zapier, CRM Tools, Customer Service, Inventory Management. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,1+ years,"Copywriting, Return Handling, Inventory Management, Google Ads, Amazon Seller Central, Social Media Marketing",High School diploma,Fluent English,Strong communication and time management skills,"Digital Marketing Assistant with 1+ years experience required. Skills needed: Copywriting, Return Handling, Inventory Management, Google Ads, Amazon Seller Central, Social Media Marketing. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,3+ years,"Order Management, Shopify, Amazon Seller Central, SEO","Bachelor's degree in Business, Marketing or related",Fluent English,Attention to detail and teamwork,"Logistics Coordinator with 3+ years experience required. Skills needed: Order Management, Shopify, Amazon Seller Central, SEO. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Order Fulfillment Associate,No experience but strong motivation,"Order Management, Inventory Management, Copywriting, Customer Service",Diploma in E-commerce or IT,Good written English,Attention to detail and teamwork,"Order Fulfillment Associate with No experience but strong motivation experience required. Skills needed: Order Management, Inventory Management, Copywriting, Customer Service. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,No experience but strong motivation,"CRM Tools, Google Ads, SEO",High School diploma,Multilingual preferred,Problem-solving and customer-first mindset,"Marketplace Account Executive with No experience but strong motivation experience required. Skills needed: CRM Tools, Google Ads, SEO. Education: High School diploma. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,2+ years,"Excel, Return Handling, CRM Tools, Copywriting, Shopify, Google Ads",High School diploma,Fluent English,Problem-solving and customer-first mindset,"Product Listing Manager with 2+ years experience required. Skills needed: Excel, Return Handling, CRM Tools, Copywriting, Shopify, Google Ads. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Product Listing Manager,1+ years,"Customer Service, Copywriting, Google Ads, SEO, Inventory Management","Bachelor's degree in Business, Marketing or related",Good written English,Strong communication and time management skills,"Product Listing Manager with 1+ years experience required. Skills needed: Customer Service, Copywriting, Google Ads, SEO, Inventory Management. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Strong communication and time management skills."
Email Campaign Assistant,No experience but strong motivation,"Inventory Management, Amazon Seller Central, Google Ads, Zapier, Excel, Product Description Writing","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Email Campaign Assistant with No experience but strong motivation experience required. Skills needed: Inventory Management, Amazon Seller Central, Google Ads, Zapier, Excel, Product Description Writing. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,2+ years,"Inventory Management, Product Description Writing, Return Handling, Amazon Seller Central, Copywriting, SEO",High School diploma,Good written English,Attention to detail and teamwork,"E-commerce Customer Service Specialist with 2+ years experience required. Skills needed: Inventory Management, Product Description Writing, Return Handling, Amazon Seller Central, Copywriting, SEO. Education: High School diploma. Language: Good written English. Soft skills: Attention to detail and teamwork."
Product Listing Manager,No experience but strong motivation,"CRM Tools, Order Management, Copywriting, Shopify, Customer Service",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Product Listing Manager with No experience but strong motivation experience required. Skills needed: CRM Tools, Order Management, Copywriting, Shopify, Customer Service. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
E-commerce Customer Service Specialist,No experience but strong motivation,"Product Description Writing, SEO, Google Ads, Shopify, CRM Tools",High School diploma,Fluent English,Problem-solving and customer-first mindset,"E-commerce Customer Service Specialist with No experience but strong motivation experience required. Skills needed: Product Description Writing, SEO, Google Ads, Shopify, CRM Tools. Education: High School diploma. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Email Campaign Assistant,3+ years,"Return Handling, Order Management, Product Description Writing",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Email Campaign Assistant with 3+ years experience required. Skills needed: Return Handling, Order Management, Product Description Writing. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Product Listing Manager,3+ years,"Google Ads, Excel, Inventory Management, CRM Tools",Diploma in E-commerce or IT,Multilingual preferred,Problem-solving and customer-first mindset,"Product Listing Manager with 3+ years experience required. Skills needed: Google Ads, Excel, Inventory Management, CRM Tools. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Problem-solving and customer-first mindset."
Digital Marketing Assistant,1+ years,"Social Media Marketing, Order Management, Excel","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Digital Marketing Assistant with 1+ years experience required. Skills needed: Social Media Marketing, Order Management, Excel. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Order Fulfillment Associate,3+ years,"Amazon Seller Central, SEO, Customer Service, Shopify",High School diploma,Good written English,Strong communication and time management skills,"Order Fulfillment Associate with 3+ years experience required. Skills needed: Amazon Seller Central, SEO, Customer Service, Shopify. Education: High School diploma. Language: Good written English. Soft skills: Strong communication and time management skills."
Content Writer (E-commerce),2+ years,"Shopify, SEO, Order Management, Inventory Management, Social Media Marketing, Amazon Seller Central","Bachelor's degree in Business, Marketing or related",Fluent English,Strong communication and time management skills,"Content Writer (E-commerce) with 2+ years experience required. Skills needed: Shopify, SEO, Order Management, Inventory Management, Social Media Marketing, Amazon Seller Central. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Strong communication and time management skills."
Marketplace Account Executive,2+ years,"Order Management, Zapier, Product Description Writing, Inventory Management, Social Media Marketing",High School diploma,Multilingual preferred,Attention to detail and teamwork,"Marketplace Account Executive with 2+ years experience required. Skills needed: Order Management, Zapier, Product Description Writing, Inventory Management, Social Media Marketing. Education: High School diploma. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Copywriting, Zapier, Amazon Seller Central, Customer Service, Excel, Inventory Management",Diploma in E-commerce or IT,Multilingual preferred,Strong communication and time management skills,"Logistics Coordinator with 3+ years experience required. Skills needed: Copywriting, Zapier, Amazon Seller Central, Customer Service, Excel, Inventory Management. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Email Campaign Assistant,3+ years,"Order Management, Amazon Seller Central, SEO, Copywriting, Social Media Marketing",Diploma in E-commerce or IT,Good written English,Strong communication and time management skills,"Email Campaign Assistant with 3+ years experience required. Skills needed: Order Management, Amazon Seller Central, SEO, Copywriting, Social Media Marketing. Education: Diploma in E-commerce or IT. Language: Good written English. Soft skills: Strong communication and time management skills."
Marketplace Account Executive,No experience but strong motivation,"Shopify, Excel, Zapier",Diploma in E-commerce or IT,Fluent English,Problem-solving and customer-first mindset,"Marketplace Account Executive with No experience but strong motivation experience required. Skills needed: Shopify, Excel, Zapier. Education: Diploma in E-commerce or IT. Language: Fluent English. Soft skills: Problem-solving and customer-first mindset."
Content Writer (E-commerce),No experience but strong motivation,"Social Media Marketing, Product Description Writing, CRM Tools, Customer Service, Excel, Copywriting","Bachelor's degree in Business, Marketing or related",Fluent English,Strong communication and time management skills,"Content Writer (E-commerce) with No experience but strong motivation experience required. Skills needed: Social Media Marketing, Product Description Writing, CRM Tools, Customer Service, Excel, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,1+ years,"SEO, CRM Tools, Zapier","Bachelor's degree in Business, Marketing or related",Good written English,Attention to detail and teamwork,"Logistics Coordinator with 1+ years experience required. Skills needed: SEO, CRM Tools, Zapier. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Attention to detail and teamwork."
Logistics Coordinator,3+ years,"Excel, Google Ads, Return Handling, Zapier, Inventory Management, Copywriting","Bachelor's degree in Business, Marketing or related",Fluent English,Strong communication and time management skills,"Logistics Coordinator with 3+ years experience required. Skills needed: Excel, Google Ads, Return Handling, Zapier, Inventory Management, Copywriting. Education: Bachelor's degree in Business, Marketing or related. Language: Fluent English. Soft skills: Strong communication and time management skills."
Product Listing Manager,1+ years,"Excel, SEO, Order Management, Amazon Seller Central, Copywriting, Return Handling",Diploma in E-commerce or IT,Multilingual preferred,Attention to detail and teamwork,"Product Listing Manager with 1+ years experience required. Skills needed: Excel, SEO, Order Management, Amazon Seller Central, Copywriting, Return Handling. Education: Diploma in E-commerce or IT. Language: Multilingual preferred. Soft skills: Attention to detail and teamwork."
Inventory Analyst,3+ years,"Return Handling, SEO, Shopify","Bachelor's degree in Business, Marketing or related",Multilingual preferred,Strong communication and time management skills,"Inventory Analyst with 3+ years experience required. Skills needed: Return Handling, SEO, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Multilingual preferred. Soft skills: Strong communication and time management skills."
Logistics Coordinator,1+ years,"CRM Tools, Customer Service, Return Handling, Excel, Social Media Marketing, Shopify","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Logistics Coordinator with 1+ years experience required. Skills needed: CRM Tools, Customer Service, Return Handling, Excel, Social Media Marketing, Shopify. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
Inventory Analyst,3+ years,"Amazon Seller Central, Product Description Writing, Order Management",High School diploma,Fluent English,Attention to detail and teamwork,"Inventory Analyst with 3+ years experience required. Skills needed: Amazon Seller Central, Product Description Writing, Order Management. Education: High School diploma. Language: Fluent English. Soft skills: Attention to detail and teamwork."
Marketplace Account Executive,2+ years,"Zapier, Customer Service, Inventory Management, Order Management, CRM Tools, SEO",High School diploma,Fluent English,Strong communication and time management skills,"Marketplace Account Executive with 2+ years experience required. Skills needed: Zapier, Customer Service, Inventory Management, Order Management, CRM Tools, SEO. Education: High School diploma. Language: Fluent English. Soft skills: Strong communication and time management skills."
Logistics Coordinator,3+ years,"Shopify, Return Handling, Inventory Management, Product Description Writing, Social Media Marketing, Excel","Bachelor's degree in Business, Marketing or related",Good written English,Problem-solving and customer-first mindset,"Logistics Coordinator with 3+ years experience required. Skills needed: Shopify, Return Handling, Inventory Management, Product Description Writing, Social Media Marketing, Excel. Education: Bachelor's degree in Business, Marketing or related. Language: Good written English. Soft skills: Problem-solving and customer-first mindset."
